the location of the crime, 124, char, 2
211470.5242165, 211470.589546708, -5.0, 4.0, t
211470.674406333, 211470.739519708, -5.0, 4.0, p
211471.757640917, 211472.524296833, 6.13749980926514, 4.0, pi
211473.62440225, 211473.757654625, 100.0, 1.0, p
211474.274381333, 211475.241250708, 6.79749965667725, 4.0, pi
211476.391327833, 211476.907844208, 100.0, 1.0, p
211477.324503625, 211478.024647167, 8.03500080108643, 4.0, pi
211477.324503625, 211478.024647167, 8.03500080108643, 4.0, ph
211479.291453542, 211480.623701875, 25.2775001525879, 4.0, phz
211479.291453542, 211480.623701875, 25.2775001525879, 4.0, phy
211481.091562667, 211481.173535083, -5.0, 4.0, phx
211483.341902708, 211484.741769667, 19.0900001525879, 4.0, phxs
211485.558537458, 211485.758466625, 100.0, 1.0, phx
211486.241790833, 211486.408376208, 100.0, 1.0, ph
211487.175235667, 211488.225607583, 15.0475006103516, 4.0, pho
211489.308824542, 211491.157564292, 27.1749992370605, 4.0, phoz
211491.792442417, 211491.925558458, 100.0, 1.0, pho
211492.592137333, 211492.925582042, 100.0, 1.0, ph
211493.592325375, 211494.374519917, 25.2775001525879, 4.0, phz
211493.592325375, 211494.374519917, 25.2775001525879, 4.0, phy
211496.859282417, 211498.808301708, 19.2550010681152, 4.0, phyt
211496.859282417, 211498.808301708, 19.2550010681152, 4.0, phys
211499.959472208, 211500.526251292, 9.02500057220459, 4.0, physi
211501.642919958, 211502.126414458, 3.08500003814697, 4.0, physia
211501.642919958, 211502.126414458, 3.08500003814697, 4.0, physib
211503.225060458, 211503.27503725, -5.0, 4.0, physi
211503.359746333, 211503.458315083, -5.0, 4.0, physic
211504.226578458, 211505.44270575, 16.3674983978271, 4.0, physicq
211504.226578458, 211505.44270575, 16.3674983978271, 4.0, physicp
211506.243160625, 211506.324875583, -5.0, 4.0, physicr
211506.39279375, 211506.459570333, -5.0, 4.0, physico
211506.526149917, 211506.609429833, -5.0, 4.0, physicn
211506.6929835, 211506.758342708, -5.0, 4.0, physics
211508.326726083, 211508.4932285, 2.50750017166138, 4.0, physicsa
211508.326726083, 211508.4932285, 2.50750017166138, 4.0, physicsb
211508.926616583, 211508.99204025, -5.0, 4.0, physics
211510.243444833, 211510.292182375, -0.875, 4.0, physics a
211511.260247125, 211512.243627625, 12.2424983978271, 4.0, physics ai
211511.260247125, 211512.243627625, 12.2424983978271, 4.0, physics al
211513.360247458, 211513.443611708, -5.0, 4.0, physics am
211513.5628, 211513.610370792, -5.0, 4.0, physics ak
211513.693612167, 211513.760440458, -5.0, 4.0, physics an
211515.010476, 211515.776946875, 3.25, 4.0, physics ana
211515.010476, 211515.776946875, 3.25, 4.0, physics anc
211516.393777125, 211516.492258292, -5.0, 4.0, physics an
211516.576877792, 211516.642272917, -5.0, 4.0, physics anb
211516.776876917, 211516.825576792, -5.0, 4.0, physics and
211518.560747, 211518.709479667, -0.792500019073486, 4.0, physics anda
211518.560747, 211518.709479667, -0.792500019073486, 4.0, physics andb
211519.327004458, 211519.392356958, -5.0, 4.0, physics and
211520.894176708, 211521.160840042, 3.49749946594238, 4.0, physics and a
211520.894176708, 211521.160840042, 3.49749946594238, 4.0, physics and c
211522.611048792, 211523.694339917, 5.72499942779541, 4.0, physics and ca
211525.261110583, 211525.344229917, 100.0, 1.0, physics and c
211525.961163167, 211526.877650458, 8.19999980926514, 4.0, physics and ci
211525.961163167, 211526.877650458, 8.19999980926514, 4.0, physics and ch
211528.394752417, 211529.043612083, 6.22000026702881, 4.0, physics and chi
211528.394752417, 211529.043612083, 6.22000026702881, 4.0, physics and cha
211530.076660542, 211530.159796167, -5.0, 4.0, physics and ch
211530.227966125, 211530.310118, -5.0, 4.0, physics and chf
211530.411692292, 211530.510069958, -5.0, 4.0, physics and che
211531.244802958, 211531.843372083, 13.3975009918213, 4.0, physics and chei
211531.244802958, 211531.843372083, 13.3975009918213, 4.0, physics and chem
211533.361641042, 211533.945022125, 11.3350009918213, 4.0, physics and chemi
211533.361641042, 211533.945022125, 11.3350009918213, 4.0, physics and chemk
211534.46173, 211534.543692417, -5.0, 4.0, physics and cheml
211534.978110875, 211535.07679675, -5.0, 4.0, physics and chemj
211535.177999167, 211535.243431375, -5.0, 4.0, physics and chemm
211536.310620333, 211536.527303042, -5.0, 4.0, physics and chemj
211537.395101833, 211537.64395075, 6.13749980926514, 4.0, physics and chemji
211539.195529917, 211539.345162167, 100.0, 1.0, physics and chemj
211539.861980583, 211540.045493542, 100.0, 1.0, physics and chem
211540.628809, 211541.328859542, 8.44750022888184, 4.0, physics and chemi
211543.295621625, 211544.112449, 18.1824989318848, 4.0, physics and chemis
211544.962471875, 211545.561159167, 21.0700016021729, 4.0, physics and chemisv
211544.962471875, 211545.561159167, 21.0700016021729, 4.0, physics and chemisu
211546.2125565, 211546.311123333, -5.0, 4.0, physics and chemisw
211546.396232375, 211546.479154542, -5.0, 4.0, physics and chemist
211547.312562917, 211548.546143375, 17.1925010681152, 4.0, physics and chemistq
211547.312562917, 211548.546143375, 17.1925010681152, 4.0, physics and chemistr
211550.029638667, 211551.0112685, 24.1224994659424, 4.0, physics and chemistry
211552.696651875, 211552.845048208, 2.01250028610229, 4.0, physics and chemistrya
211552.696651875, 211552.845048208, 2.01250028610229, 4.0, physics and chemistryb
211553.496300833, 211553.529635208, -5.0, 4.0, physics and chemistry
211554.729718167, 211554.878407167, 2.17750024795532, 4.0, physics and chemistry a
211555.713217708, 211556.678737917, 15.1300010681152, 4.0, physics and chemistry ao
211555.713217708, 211556.678737917, 15.1300010681152, 4.0, physics and chemistry ap
211557.895208792, 211557.978562167, -5.0, 4.0, physics and chemistry an
211558.063453167, 211558.145329042, -5.0, 4.0, physics and chemistry aq
211558.296599708, 211558.378611583, -5.0, 4.0, physics and chemistry am
211558.54662525, 211558.628570167, -5.0, 4.0, physics and chemistry ar
211559.363394333, 211559.712202292, 5.06500053405762, 4.0, physics and chemistry ara
211559.363394333, 211559.712202292, 5.06500053405762, 4.0, physics and chemistry ari
211560.447021875, 211560.546833958, -5.0, 4.0, physics and chemistry ar
211560.630162417, 211560.712120583, -5.0, 4.0, physics and chemistry ard
211560.846718083, 211560.945474167, -5.0, 4.0, physics and chemistry are
211561.130106167, 211561.212199083, -5.0, 4.0, physics and chemistry arc
211564.813674333, 211564.8802165, 100.0, 1.0, physics and chemistry ar
211565.880387167, 211566.547133625, 5.14750003814697, 4.0, physics and chemistry ara
211565.880387167, 211566.547133625, 5.14750003814697, 4.0, physics and chemistry ari
211567.430531792, 211567.497082125, -5.0, 4.0, physics and chemistry ar
211567.614007125, 211567.680516583, -5.0, 4.0, physics and chemistry are
211567.883017792, 211567.929215375, -5.0, 4.0, physics and chemistry ard
211568.863850208, 211569.079319458, -5.0, 4.0, physics and chemistry are
211572.413981125, 211572.597347792, 0.0325002670288086, 4.0, physics and chemistry area
211572.413981125, 211572.597347792, 0.0325002670288086, 4.0, physics and chemistry areb
211573.130656, 211573.196006875, -5.0, 4.0, physics and chemistry are
211574.214399708, 211575.079543833, 5.14750003814697, 4.0, physics and chemistry are a
211576.464524792, 211576.880993917, 100.0, 1.0, physics and chemistry are
211577.331037375, 211577.8979525, 8.28250026702881, 4.0, physics and chemistry are i
211577.331037375, 211577.8979525, 8.28250026702881, 4.0, physics and chemistry are h
211579.298009667, 211579.4813045, -0.627500057220459, 4.0, physics and chemistry are ha
211580.531565042, 211581.881471708, 15.0475006103516, 4.0, physics and chemistry are hao
211580.531565042, 211581.881471708, 15.0475006103516, 4.0, physics and chemistry are hap
211582.764817167, 211582.831502625, -5.0, 4.0, physics and chemistry are han
211582.9315725, 211582.998172667, -5.0, 4.0, physics and chemistry are haq
211583.0982565, 211583.163567417, -5.0, 4.0, physics and chemistry are ham
211583.281627333, 211583.36339025, -5.0, 4.0, physics and chemistry are har
211584.298375208, 211584.698180792, 3.00250053405762, 4.0, physics and chemistry are hara
