beautiful paintings in the gallery, 0, false, 1
beautiful paintings in the gallery, 165, false, 1
207933.828321292, 207933.926791667, -5.0, 4.0
207934.011660208, 207934.093512208, -5.0, 4.0
207934.1782405, 207934.26034375, -5.0, 4.0
207934.328301917, 207934.443490792, -5.0, 4.0
207934.844726417, 207935.543574208, 16.2849998474121, 4.0
207936.128209625, 207936.228192208, -5.0, 4.0
207936.295111333, 207936.378411667, -5.0, 4.0
207936.461568208, 207936.560319875, -5.0, 4.0
207937.2948925, 207937.595243917, 0.197499752044678, 4.0
207938.528349792, 207938.627106583, -5.0, 4.0
207938.695159417, 207938.79503225, -5.0, 4.0
207939.195129958, 207939.9451275, 13.2325000762939, 4.0
207940.461823583, 207940.545131083, -5.0, 4.0
207940.611948208, 207940.711975042, -5.0, 4.0
207940.778491333, 207940.877307833, -5.0, 4.0
207940.945383792, 207941.045249333, -5.0, 4.0
207941.4953355, 207942.161966083, 6.13749980926514, 4.0
207942.795213917, 207942.910709083, -5.0, 4.0
207942.962098542, 207943.077532958, -5.0, 4.0
207943.128732417, 207943.227477958, -5.0, 4.0
207944.012220667, 207944.278656083, -0.627500057220459, 4.0
207945.327598042, 207945.477633875, -5.0, 4.0
207945.878910375, 207945.994240792, -5.0, 4.0
207946.695618875, 207947.695923458, -0.0499997138977051, 4.0
207948.245631833, 207948.328892708, -5.0, 4.0
207948.395821583, 207948.495692208, -5.0, 4.0
207948.562328292, 207948.662328125, -5.0, 4.0
207948.745783042, 207948.845749167, -5.0, 4.0
207949.412680875, 207949.879163417, 5.3125, 4.0
207950.512360833, 207950.62794625, -5.0, 4.0
207950.679538, 207950.777854125, -5.0, 4.0
207950.862713333, 207950.94584625, -5.0, 4.0
207951.512543458, 207952.612603625, 14.2224998474121, 4.0
207953.179351542, 207953.29589925, -5.0, 4.0
207953.996064875, 207954.5780855, 8.19999980926514, 4.0
207956.062958958, 207956.329521958, 0.0325002670288086, 4.0
207956.996387125, 207957.595193833, 11.0050010681152, 4.0
207958.112859792, 207958.211656583, -5.0, 4.0
207958.279833375, 207958.378382958, -5.0, 4.0
207958.4296775, 207958.5283595, -5.0, 4.0
sing the gospel and the blues, 130, false, 5
207960.446501833, 207961.596552958, 19.1725006103516, 4.0
207962.479813958, 207962.513184708, -5.0, 4.0
207963.079971083, 207963.846890583, 5.97250080108643, 4.0
207964.61341475, 207966.596888292, 10.7574996948242, 4.0
207967.246904917, 207967.345612417, -5.0, 4.0
207967.41381925, 207967.513505333, -5.0, 4.0
207967.580519583, 207967.679122, -5.0, 4.0
207967.813540417, 207967.928994667, -5.0, 4.0
207968.013737042, 207968.095685917, -5.0, 4.0
207968.230633625, 207968.313537125, -5.0, 4.0
207968.78037725, 207968.879112375, -5.0, 4.0
207969.397300458, 207969.963749083, 5.06500053405762, 4.0
207970.613906125, 207970.695820292, -5.0, 4.0
207970.764101417, 207970.862567792, -5.0, 4.0
207970.930767292, 207971.013936583, -5.0, 4.0
207971.080391875, 207971.163832, -5.0, 4.0
207971.247226583, 207971.330473667, -5.0, 4.0
207971.597227833, 207971.680419875, -5.0, 4.0
207971.914128833, 207971.995964625, -5.0, 4.0
207972.280478333, 207972.395992042, -5.0, 4.0
207973.163982083, 207973.530724542, -0.957499980926514, 4.0
207974.447546833, 207974.529453667, -5.0, 4.0
