do you prefer a window seat, 0, false, 1
do you prefer a window seat, 81, false, 1
296207.694076792, 296208.42631, 20.0799999237061, 4.0
296209.1107245, 296209.210740792, -5.0, 4.0
296209.64426025, 296210.059684167, 9.10750007629395, 4.0
296210.911035667, 296211.4775595, 13.3150005340576, 4.0
296212.227603708, 296212.309722458, -5.0, 4.0
296212.41097125, 296212.493050625, -5.0, 4.0
296212.594416, 296212.661012917, -5.0, 4.0
296213.127852083, 296213.759968042, 14.0574989318848, 4.0
296215.277901625, 296215.376715292, 0.0325002670288086, 4.0
296215.961569, 296216.54353375, 13.2325000762939, 4.0
296217.194598125, 296217.310028458, -5.0, 4.0
296217.378157083, 296217.460191917, -5.0, 4.0
296217.561564042, 296217.644632208, -5.0, 4.0
296218.111593417, 296218.743595583, 14.0574989318848, 4.0
296219.811531625, 296220.210396417, 14.0574989318848, 4.0
296220.878227667, 296220.960271625, -5.0, 4.0
296221.045183375, 296221.14481925, -5.0, 4.0
296221.211555625, 296221.327110125, -5.0, 4.0
296221.37833675, 296221.478301042, -5.0, 4.0
296221.92865125, 296222.810432417, 24.0399990081787, 4.0
get aboard the ship is leaving, 74, false, 8
296227.412057667, 296227.894184875, 8.28250026702881, 4.0
296228.445393083, 296228.511989583, -5.0, 4.0
296228.9287895, 296229.245469458, 6.38500022888184, 4.0
296229.7620995, 296229.845382208, -5.0, 4.0
296229.945788625, 296230.012207917, -5.0, 4.0
296230.379187292, 296231.194319125, 20.4099998474121, 4.0
296231.928963708, 296231.995530042, -5.0, 4.0
296232.679077083, 296232.794475208, 0.0325002670288086, 4.0
296233.57914275, 296233.712461667, 1.02250003814697, 4.0
296234.26233375, 296234.327813375, -5.0, 4.0
296234.762473625, 296235.16142625, 3.00250053405762, 4.0
296235.645824833, 296235.744659667, -5.0, 4.0
296236.745980792, 296237.5280785, 14.0574989318848, 4.0
296238.246046958, 296238.311385125, -5.0, 4.0
296239.196090667, 296239.362747708, 0.115000247955322, 4.0
296239.996049125, 296240.094858792, -5.0, 4.0
296240.980188583, 296241.812871875, 17.1925010681152, 4.0
296242.4795475, 296242.578497167, -5.0, 4.0
296243.229769583, 296243.545352583, 6.38500022888184, 4.0
296244.678491958, 296244.763097375, -5.0, 4.0
296244.880024292, 296244.946447583, -5.0, 4.0
296245.046394833, 296245.146501542, -5.0, 4.0
296245.263031458, 296245.378610708, -5.0, 4.0
296246.3299235, 296246.563293042, 3.00250053405762, 4.0
296247.563460542, 296248.278752, 20.3274993896484, 4.0
296248.980000583, 296249.062151, -5.0, 4.0
296249.463482208, 296250.030130167, 7.12750053405762, 4.0
296250.696817708, 296250.796784958, -5.0, 4.0
296250.897121083, 296250.978912375, -5.0, 4.0
296251.080169542, 296251.17892175, -5.0, 4.0
296251.763638792, 296252.12902325, 4.07499980926514, 4.0
296252.947041417, 296253.030267625, -5.0, 4.0
296253.147237292, 296253.21248675, -5.0, 4.0
296253.313648, 296253.413688792, -5.0, 4.0
296253.547249542, 296253.662598833, -0.875, 4.0
296255.195933417, 296256.045645917, 19.0900001525879, 4.0
296257.597298958, 296257.63066775, 100.0, 1.0
296258.180733042, 296258.412826667, 1.02250003814697, 4.0
296258.881036375, 296259.579695083, 18.1000003814697, 4.0
296260.247391167, 296260.329540125, -5.0, 4.0
296260.680865875, 296261.079795958, 9.19000053405762, 4.0
296261.580802958, 296261.66419675, -5.0, 4.0
296261.964415042, 296262.430996833, 9.19000053405762, 4.0
296263.281355208, 296263.896558333, 17.0275001525879, 4.0
296264.731217125, 296264.83102975, -5.0, 4.0
296264.914402458, 296264.996564167, -5.0, 4.0
296265.747860958, 296265.84666275, 0.527500152587891, 4.0
296266.447905083, 296266.931345542, 8.03500080108643, 4.0
296267.481217417, 296267.563397042, -5.0, 4.0
296267.648006875, 296267.730031583, -5.0, 4.0
296268.114704, 296268.729990833, 18.1000003814697, 4.0
296269.331329917, 296269.398037458, -5.0, 4.0
296270.364851625, 296270.446890333, -0.627500057220459, 4.0
296270.864872708, 296271.314859667, 11.0050010681152, 4.0
296271.848155833, 296271.947051292, -5.0, 4.0
