they might find your comment offensive, 139, char, 1
225399.24724375, 225400.397292167, 17.1100006103516, 4.0, the acceptance speech was bor
225401.814083792, 225402.3462135, 9.02500057220459, 4.0, the acceptance speech was bori
225403.2976205, 225404.012854333, 12.0774993896484, 4.0, the acceptance speech was borii
225403.2976205, 225404.012854333, 12.0774993896484, 4.0, the acceptance speech was boril
225404.797635583, 225404.831057125, -5.0, 4.0, the acceptance speech was borik
225404.914351208, 225405.012896417, -5.0, 4.0, the acceptance speech was borim
225405.080938833, 225405.179649458, -5.0, 4.0, the acceptance speech was borij
225405.264372875, 225405.347694917, -5.0, 4.0, the acceptance speech was borin
225405.864421333, 225406.631221958, 8.03500080108643, 4.0, the acceptance speech was borini
225405.864421333, 225406.631221958, 8.03500080108643, 4.0, the acceptance speech was borinh
225407.481173625, 225407.647792958, -5.0, 4.0, the acceptance speech was boring
225407.681269083, 225407.813203292, -5.0, 4.0, the acceptance speech was borinf
225407.948065542, 225408.01322025, -5.0, 4.0, the acceptance speech was boring
only an idiot would lie in court, 157, char, 3
225411.898141875, 225413.980169708, 12.3249988555908, 4.0, i
225411.898141875, 225413.980169708, 12.3249988555908, 4.0, l
225414.564919208, 225414.66369375, -5.0, 4.0, m
225414.748508125, 225414.815136833, -5.0, 4.0, k
225414.898224917, 225414.99707475, -5.0, 4.0, n
225415.048284333, 225415.131619792, -5.0, 4.0, j
225415.198286958, 225415.315025875, -5.0, 4.0, o
225416.481731875, 225417.397211875, 12.1599998474121, 4.0, oi
225416.481731875, 225417.397211875, 12.1599998474121, 4.0, ol
225417.931844125, 225418.015021083, -5.0, 4.0, om
225418.098660625, 225418.197194167, -5.0, 4.0, ok
225418.281901875, 225418.380583542, -5.0, 4.0, on
225418.915310667, 225419.547358625, 12.0774993896484, 4.0, oni
225418.915310667, 225419.547358625, 12.0774993896484, 4.0, onl
225420.48202275, 225422.048687458, 20.0799999237061, 4.0, onlu
225420.48202275, 225422.048687458, 20.0799999237061, 4.0, onlt
225422.965462958, 225423.098817125, -5.0, 4.0, onlv
225423.149013042, 225423.248722042, -5.0, 4.0, onls
225423.315622958, 225423.432141542, -5.0, 4.0, onlr
225423.482133583, 225423.565432208, -5.0, 4.0, onlw
225423.648882792, 225423.73218325, -5.0, 4.0, onlq
225423.782327542, 225423.897584458, -5.0, 4.0, onlx
225423.948897, 225424.048913292, -5.0, 4.0, onlp
225424.448857292, 225424.564144875, -5.0, 4.0, only
225424.598692417, 225424.698987958, -5.0, 4.0, onlo
225424.782195875, 225424.864347917, -5.0, 4.0, only
225427.049014208, 225427.249068042, 4.48750019073486, 4.0, onlya
225427.049014208, 225427.249068042, 4.48750019073486, 4.0, onlyi
225427.965822167, 225428.049039708, -5.0, 4.0, only
225428.599321833, 225428.865861208, 1.02250003814697, 4.0, only a
225429.865920958, 225430.698082125, 11.0050010681152, 4.0, only ai
225429.865920958, 225430.698082125, 11.0050010681152, 4.0, only ak
225431.199229667, 225431.297990083, -5.0, 4.0, only aj
225431.366494208, 225431.448090667, -5.0, 4.0, only al
