questioning the wisdom of the courts, 0, false, 1
questioning the wisdom of the courts, 148, false, 1
300701.055696792, 300701.120746542, -5.0, 4.0
300701.205503167, 300701.28766325, -5.0, 4.0
300701.355522208, 300701.454395, -5.0, 4.0
300701.972172417, 300702.872288, 4.32250022888184, 4.0
300703.555521917, 300703.637818292, -5.0, 4.0
300703.739010375, 300703.804386208, -5.0, 4.0
300703.905613125, 300703.987713625, -5.0, 4.0
300704.706035083, 300704.922411083, 0.0325002670288086, 4.0
300706.038967333, 300706.939134042, 18.0174999237061, 4.0
300707.472533333, 300707.571259917, -5.0, 4.0
300707.656088833, 300707.737819208, -5.0, 4.0
300708.106463958, 300709.488010958, 21.1525001525879, 4.0
300710.155961542, 300710.254742167, -5.0, 4.0
300710.689433625, 300711.289499167, 4.23999977111816, 4.0
300712.006101125, 300712.106055667, -5.0, 4.0
300712.242027292, 300712.288279667, -5.0, 4.0
300712.373026458, 300712.438239708, -5.0, 4.0
300712.989552708, 300714.821746833, 21.1525001525879, 4.0
300715.373154792, 300715.455078167, -5.0, 4.0
300715.539910333, 300715.605198458, -5.0, 4.0
300715.706885792, 300715.77186725, -5.0, 4.0
300715.856424792, 300715.955208917, -5.0, 4.0
300716.0230905, 300716.121975375, -5.0, 4.0
300716.47321325, 300717.22197975, 20.0799999237061, 4.0
300718.089785, 300718.188660833, -5.0, 4.0
300718.65666875, 300719.423385292, 10.0150003433228, 4.0
300719.956766542, 300720.038695958, -5.0, 4.0
300720.589910667, 300721.822187292, 14.1399993896484, 4.0
300722.323456042, 300722.422215625, -5.0, 4.0
300722.8236245, 300724.12252125, 13.0675010681152, 4.0
300724.606991333, 300724.722332333, -5.0, 4.0
this is a non profit organization, 121, false, 5
300731.524165708, 300732.473028292, 20.1625003814697, 4.0
300733.040886417, 300733.122919542, -5.0, 4.0
300733.574271792, 300734.507683083, 11.0050010681152, 4.0
300735.057759458, 300735.139693708, -5.0, 4.0
300735.241138708, 300735.306436208, -5.0, 4.0
300735.391165542, 300735.472944458, -5.0, 4.0
300735.541034458, 300735.639964375, -5.0, 4.0
300735.724512167, 300735.823225917, -5.0, 4.0
300736.174420292, 300736.756732958, 8.03500080108643, 4.0
300737.307879792, 300737.373233542, -5.0, 4.0
300737.491580208, 300737.557782375, -5.0, 4.0
300737.857881958, 300739.574701292, 17.0275001525879, 4.0
300740.224636458, 300740.323314833, -5.0, 4.0
300740.408138542, 300740.490183083, -5.0, 4.0
300740.558143667, 300740.673473, -5.0, 4.0
300741.124763167, 300742.424715458, 0.610000133514404, 4.0
300743.291554625, 300744.375008042, 11.0050010681152, 4.0
300744.908260292, 300745.023752458, -5.0, 4.0
300745.142073333, 300745.240459, -5.0, 4.0
300745.325178875, 300745.406957458, -5.0, 4.0
300746.025016292, 300747.458792917, 17.1100006103516, 4.0
300748.025127583, 300748.123888, -5.0, 4.0
300748.208975792, 300748.307302, -5.0, 4.0
300748.392138417, 300748.457360917, -5.0, 4.0
300749.65854825, 300749.791977333, -0.875, 4.0
300750.775368792, 300751.10865325, 0.0325002670288086, 4.0
300752.207592, 300752.27416, -5.0, 4.0
300753.592320292, 300753.89234975, 0.0325002670288086, 4.0
300754.725655625, 300756.642391292, 11.5, 4.0
300757.142465375, 300757.224522333, -5.0, 4.0
300757.326265167, 300757.391284708, -5.0, 4.0
300757.476177167, 300757.574444333, -5.0, 4.0
300757.659212625, 300757.725879667, -5.0, 4.0
300757.809314, 300757.891277792, -5.0, 4.0
300758.542592583, 300761.308277583, 14.0574989318848, 4.0
300761.959456125, 300762.074802125, -5.0, 4.0
300762.55958125, 300763.208242167, 13.3150005340576, 4.0
300763.709479958, 300763.791738792, -5.0, 4.0
300764.842924458, 300764.926701875, -0.957499980926514, 4.0
300765.75977725, 300767.126878708, 12.9850006103516, 4.0
300767.709832292, 300767.79184, -5.0, 4.0
300767.893419542, 300767.975304917, -5.0, 4.0
300768.0432815, 300768.127137292, -5.0, 4.0
300768.193062542, 300768.292016875, -5.0, 4.0
300768.359790833, 300768.442032625, -5.0, 4.0
300768.509821833, 300768.608645375, -5.0, 4.0
300769.526818833, 300770.643325, 19.4200000762939, 4.0
300771.309971625, 300771.475399292, -5.0, 4.0
300771.576799583, 300771.658821333, -5.0, 4.0
300771.743510583, 300771.825414917, -5.0, 4.0
300772.410203292, 300774.192403292, 15.1300010681152, 4.0
300775.277498167, 300775.743754917, 6.05500030517578, 4.0
300776.377223708, 300776.4590315, -5.0, 4.0
300777.143764042, 300777.625966958, 13.3975009918213, 4.0
300778.293780458, 300778.359353583, -5.0, 4.0
300778.460609, 300778.525844833, -5.0, 4.0
300778.610735833, 300778.692484792, -5.0, 4.0
300778.760614583, 300778.826027125, -5.0, 4.0
300778.911410167, 300778.992737083, -5.0, 4.0
300779.060910625, 300779.142649708, -5.0, 4.0
300779.643914833, 300779.710462375, -5.0, 4.0
300779.827375792, 300779.892715792, -5.0, 4.0
300780.560692417, 300781.776139, 19.0075016021729, 4.0
300782.527441167, 300782.626246125, -5.0, 4.0
300783.610864167, 300783.777574833, 2.01250028610229, 4.0
300785.160934625, 300786.459838083, 15.0475006103516, 4.0
300786.944471667, 300789.127863125, 15.2124996185303, 4.0
300789.611200292, 300789.709898042, -5.0, 4.0
300789.794750625, 300789.876686833, -5.0, 4.0
300789.944668167, 300790.043460833, -5.0, 4.0
300790.12838875, 300790.193248458, -5.0, 4.0
300790.361170125, 300790.443521583, -5.0, 4.0
300791.094708375, 300791.81146375, 5.14750003814697, 4.0
300792.628171083, 300792.693482917, -5.0, 4.0
300792.778192542, 300792.861625583, -5.0, 4.0
300792.944879417, 300793.026919833, -5.0, 4.0
300793.094631708, 300793.178322875, -5.0, 4.0
300793.244670958, 300793.343308083, -5.0, 4.0
300793.411828917, 300793.493788583, -5.0, 4.0
300793.5449245, 300793.643675458, -5.0, 4.0
300794.128384625, 300794.210197458, -5.0, 4.0
300794.962000833, 300795.378332875, 11.0874996185303, 4.0
300796.528325333, 300796.644924167, 100.0, 1.0
300796.460396292, 300796.910460542, -5.0, 4.0
300797.2117, 300797.394926125, 100.0, 1.0
300797.2117, 300797.577112375, -5.0, 4.0
300798.328563333, 300799.11198625, 6.38500022888184, 4.0
300799.77866325, 300799.843850375, -5.0, 4.0
300799.928952792, 300800.01068375, -5.0, 4.0
300800.095297917, 300800.178646833, -5.0, 4.0
300800.712058792, 300800.945430958, 1.1875, 4.0
300801.528655417, 300801.595382542, -5.0, 4.0
300802.2286985, 300803.36091975, 13.2325000762939, 4.0
300803.89559625, 300803.977320292, -5.0, 4.0
300804.662248583, 300805.528960792, 5.89000034332275, 4.0
300806.17895575, 300806.2623185, -5.0, 4.0
300806.345652583, 300806.444498583, -5.0, 4.0
300806.49572875, 300806.594397875, -5.0, 4.0
300806.662401875, 300806.761244, -5.0, 4.0
300806.81269575, 300806.894576, -5.0, 4.0
300806.962387708, 300807.061270458, -5.0, 4.0
300807.312238083, 300807.411083417, -5.0, 4.0
300807.512595042, 300807.594115917, -5.0, 4.0
300809.312640375, 300810.17786275, 27.0925025939941, 4.0
300811.812713042, 300812.079320208, 2.17750024795532, 4.0
300812.862789292, 300812.94483575, -5.0, 4.0
300813.696186958, 300814.878344167, 19.0900001525879, 4.0
300815.36292975, 300815.461649708, -5.0, 4.0
300815.946763417, 300816.595178875, 8.19999980926514, 4.0
300817.129605667, 300817.211776125, -5.0, 4.0
300817.313149667, 300817.37982225, -5.0, 4.0
300817.763125333, 300819.695514292, 18.1000003814697, 4.0
300820.246713292, 300820.345387458, -5.0, 4.0
300820.430169042, 300820.511953292, -5.0, 4.0
300820.596877042, 300820.678659917, -5.0, 4.0
300820.746487667, 300820.845479042, -5.0, 4.0
300820.913273125, 300820.99550825, -5.0, 4.0
300821.063298542, 300821.162152167, -5.0, 4.0
300821.763352542, 300822.295510792, 15.2950000762939, 4.0
300822.846746667, 300822.91212675, -5.0, 4.0
300823.013468958, 300823.095492458, -5.0, 4.0
the punishment should fit the crime, 158, false, 6
300829.947626375, 300830.996107583, 15.4600009918213, 4.0
300831.647409208, 300831.729469, -5.0, 4.0
300831.814020333, 300831.896142583, -5.0, 4.0
300831.981137917, 300832.046234875, -5.0, 4.0
300832.114074417, 300832.229409292, -0.627500057220459, 4.0
300832.297710208, 300832.396165792, -5.0, 4.0
300832.464304208, 300832.579576458, -5.0, 4.0
300833.297457917, 300833.396266667, -5.0, 4.0
