word,time,elapse,selection,user,id,in_sentence,mode,sentence_first,reset
************,10.783955416991375,1.4681135000137147,0.5986924169992562,lixiaohan_1473762661,11,1,word,False,False
the,10.783955416991375,0.8835659580072388,2.1500563750159927,lixiaohan_1473762661,11,0,word,True,False
imagination,10.050744499982102,2.749849959014682,0.0,lixiaohan_1473762661,11,1,word,False,False
of,1.0169229579914827,0.9667572919861414,0.0,lixiaohan_1473762661,11,2,word,False,False
the,2.966846166003961,1.149776959005976,0.0,lixiaohan_1473762661,11,3,word,False,False
you,2.733728582999902,0.9999747920082882,0.0,lixiaohan_1473762661,12,0,word,True,False
hart,4.100176915992051,1.2840489170048386,4.700202375010122,lixiaohan_1473762661,12,1,word,False,False
you,4.100176915992051,0.8999834590067621,6.050361375004286,lixiaohan_1473762661,12,0,word,True,False
must,3.2836487499880604,1.3834963330009487,0.0,lixiaohan_1473762661,12,1,word,False,False
be,1.0500353749957867,1.0499412920034956,0.0,lixiaohan_1473762661,12,2,word,False,False
carried,7.500666750012897,1.466742874996271,0.0,lixiaohan_1473762661,12,3,word,False,False
a,1.5834535830072127,1.6334999579994474,0.0,lixiaohan_1473762661,12,4,word,False,False
be,1.5834535830072127,0.7331692499865312,2.3168105829972774,lixiaohan_1473762661,12,2,word,False,False
getting,7.734094584011473,1.616687625006307,0.0,lixiaohan_1473762661,12,3,word,False,False
the,2.8335240409942344,1.4834205840015784,0.0,lixiaohan_1473762661,13,0,word,True,False
capital,8.500820415996714,1.0999144999950659,0.0,lixiaohan_1473762661,13,1,word,False,False
of,1.6501219590136316,1.3333857909892686,0.0,lixiaohan_1473762661,13,2,word,False,False
our,2.8987686250184197,0.8682556669809856,0.0,lixiaohan_1473762661,13,3,word,False,False
i,0.7332845420169178,1.2335621249803808,0.0,lixiaohan_1473762661,14,0,word,True,False
am,1.1000492080056574,1.9834077919949777,0.0,lixiaohan_1473762661,14,1,word,False,False
going,4.767146166006569,1.10025729201152,0.0,lixiaohan_1473762661,14,2,word,False,False
to,1.9830948330054525,0.8501258749747649,0.0,lixiaohan_1473762661,14,3,word,False,False
a,0.29996029200265184,0.7332515000016429,0.0,lixiaohan_1473762661,14,4,word,False,False
music,5.500460625014966,1.3501201659964863,1.933471541997278,lixiaohan_1473762661,14,5,word,False,False
my,1.4836117919767275,0.850255625002319,0.0,lixiaohan_1473762661,15,0,word,True,False
bare,2.8999257080140524,1.6847252919978928,4.282269791990984,lixiaohan_1473762661,15,1,word,False,False
face,2.133480124990456,1.1835697499918751,1.2998751250270288,lixiaohan_1473762661,15,2,word,False,False
in,1.30021499999566,1.0166321249853354,0.0,lixiaohan_1473762661,15,3,word,False,False
the,2.5001934160245582,0.8502292089979164,0.0,lixiaohan_1473762661,15,4,word,False,False
time,3.2833868750021793,1.5833907079941127,0.0,lixiaohan_1473762661,15,5,word,False,False
the,3.2833868750021793,0.8334727080073208,1.6665181249845773,lixiaohan_1473762661,15,4,word,False,False
this,10.583934791007778,1.2167781669995748,0.0,lixiaohan_1473762661,16,0,word,True,False
watch,7.4673194579954725,1.2166177089966368,0.0,lixiaohan_1473762661,16,1,word,False,False
is,1.5667279580084141,1.9836020419897977,0.0,lixiaohan_1473762661,16,2,word,False,False
too,2.58335616599652,0.8834863340016454,0.0,lixiaohan_1473762661,16,3,word,False,False
do,2.1501042090239935,1.4671607079799287,0.0,lixiaohan_1473762661,17,0,word,True,False
